Iteration,Search Cost
1,4355
2,176430
3,No solution found. Search cost: 300001
4,14453
5,No solution found. Search cost: 300001
6,No solution found. Search cost: 300001
7,No solution found. Search cost: 300001
8,16039
9,259492
10,41795
11,No solution found. Search cost: 300001
12,No solution found. Search cost: 300001
13,105546
14,37951
15,No solution found. Search cost: 300001
16,No solution found. Search cost: 300001
17,142885
18,No solution found. Search cost: 300001
19,63495
20,100438
21,77559
22,158120
23,No solution found. Search cost: 300001
24,No solution found. Search cost: 300001
25,No solution found. Search cost: 300001
26,No solution found. Search cost: 300001
27,No solution found. Search cost: 300001
28,No solution found. Search cost: 300001
29,11096
30,No solution found. Search cost: 300001
31,No solution found. Search cost: 300001
32,90803
33,125501
34,160315
35,23877
36,32811
37,No solution found. Search cost: 300001
38,No solution found. Search cost: 300001
39,18128
40,47091
41,281733
42,No solution found. Search cost: 300001
43,No solution found. Search cost: 300001
44,25321
45,137439
46,106662
47,41085
48,No solution found. Search cost: 300001
49,90145
50,No solution found. Search cost: 300001
