Iteration,Search Cost
1,No solution found. Search cost: 300001
2,267279
3,173307
4,241668
5,No solution found. Search cost: 300001
6,22042
7,No solution found. Search cost: 300001
8,No solution found. Search cost: 300001
9,226837
10,No solution found. Search cost: 300001
11,No solution found. Search cost: 300001
12,No solution found. Search cost: 300001
13,68822
14,53528
15,No solution found. Search cost: 300001
16,283307
17,24980
18,8922
19,No solution found. Search cost: 300001
20,No solution found. Search cost: 300001
21,102239
22,No solution found. Search cost: 300001
23,159189
24,No solution found. Search cost: 300001
25,81982
26,No solution found. Search cost: 300001
27,149489
28,No solution found. Search cost: 300001
29,53628
30,279159
31,No solution found. Search cost: 300001
32,No solution found. Search cost: 300001
33,40681
34,No solution found. Search cost: 300001
35,204263
36,No solution found. Search cost: 300001
37,171125
38,175988
39,41030
40,181186
41,146600
42,101804
43,No solution found. Search cost: 300001
44,No solution found. Search cost: 300001
45,No solution found. Search cost: 300001
46,No solution found. Search cost: 300001
47,177178
48,39852
49,127711
50,No solution found. Search cost: 300001
51,No solution found. Search cost: 300001
52,10596
53,No solution found. Search cost: 300001
54,No solution found. Search cost: 300001
55,No solution found. Search cost: 300001
56,No solution found. Search cost: 300001
57,144635
58,222142
59,No solution found. Search cost: 300001
60,14813
61,No solution found. Search cost: 300001
62,67918
63,No solution found. Search cost: 300001
64,90482
65,103646
66,13158
67,88429
68,39428
69,262458
70,26755
71,No solution found. Search cost: 300001
72,No solution found. Search cost: 300001
73,No solution found. Search cost: 300001
74,83895
75,No solution found. Search cost: 300001
76,No solution found. Search cost: 300001
77,No solution found. Search cost: 300001
78,No solution found. Search cost: 300001
79,91887
80,No solution found. Search cost: 300001
81,No solution found. Search cost: 300001
82,25849
83,No solution found. Search cost: 300001
84,No solution found. Search cost: 300001
85,75063
86,111131
87,99511
88,4377
89,208499
90,No solution found. Search cost: 300001
91,No solution found. Search cost: 300001
92,93282
93,No solution found. Search cost: 300001
94,No solution found. Search cost: 300001
95,No solution found. Search cost: 300001
96,No solution found. Search cost: 300001
97,No solution found. Search cost: 300001
98,No solution found. Search cost: 300001
99,24242
100,No solution found. Search cost: 300001
