Iteration,Search Cost
1,30000013
2,468234
3,30000012
4,30000013
5,421429
6,1097854
7,30000013
8,30000014
9,30000010
10,495267
11,30000013
12,4714515
13,96838
14,1609805
15,30000014
16,30000014
17,544131
18,30000013
19,30000014
20,77442
21,610935
22,30000010
23,30000008
24,30000008
25,1074191
26,150057
27,30000008
28,150129
29,66560
30,716372
31,30000013
32,30000010
33,29974
34,87934
35,40061
36,33597
37,1154165
38,30000013
39,30000010
40,15295
41,161565
42,6700
43,30000013
44,30000012
45,1028056
46,30000013
47,30000009
48,1797016
49,161131
50,26114
