Iteration,Search Cost
1,1021
2,No solution found.10001
3,No solution found.10001
4,246
5,228
6,1137
7,No solution found.10001
8,No solution found.10001
9,No solution found.10001
10,No solution found.10001
11,426
12,1529
13,No solution found.10001
14,No solution found.10001
15,922
16,5555
17,38
18,No solution found.10001
19,No solution found.10001
20,No solution found.10001
21,No solution found.10001
22,No solution found.10001
23,No solution found.10001
24,No solution found.10001
25,No solution found.10001
26,No solution found.10001
27,No solution found.10001
28,No solution found.10001
29,No solution found.10001
30,1309
31,No solution found.10001
32,No solution found.10001
33,No solution found.10001
34,No solution found.10001
35,2636
36,No solution found.10001
37,499
38,No solution found.10001
39,4060
40,6941
41,742
42,917
43,1015
44,No solution found.10001
45,No solution found.10001
46,10
47,534
48,No solution found.10001
49,17
50,No solution found.10001
